rating,restaurantRating,rating_deviation,friendCount,reviewCount,reviewUsefulCount,usefulCount,coolCount,funnyCount,complimentCount,tipCount,fanCount,reviewer_account_age_days,reviewer_engagement_ratio,reviewer_social_reach,reviewer_helpfulness_ratio,reviewer_activity_level,review_word_count,flagged
5,4.0,1.0,0,1,0,1,2,0,0,0,0,443,1.5,0,0.5,0.6931471805599453,144,1
5,4.0,1.0,5,12,0,19,7,6,4,0,0,30,2.4615384615384617,5,1.4615384615384615,2.5649493574615367,46,0
5,3.5,1.5,0,6,0,7,3,2,0,0,0,30,1.7142857142857142,0,1.0,1.9459101490553132,18,1
5,3.5,1.5,2,37,0,16,3,3,1,0,1,56,0.5789473684210527,3,0.42105263157894735,3.6375861597263857,41,0
5,4.0,1.0,0,3,0,2,1,0,0,0,0,280,0.75,0,0.5,1.3862943611198906,40,1
4,4.0,0.0,10,119,1,94,55,49,25,0,0,70,1.65,10,0.7833333333333333,4.787491742782046,62,0
3,4.0,1.0,12,24,1,20,7,8,0,0,0,113,1.4,12,0.8,3.2188758248682006,135,0
5,4.0,1.0,0,11,0,12,2,3,0,0,0,662,1.4166666666666667,0,1.0,2.4849066497880004,25,1
5,4.0,1.0,0,25,0,10,2,4,0,0,0,67,0.6153846153846154,0,0.38461538461538464,3.258096538021482,2,0
1,4.0,3.0,0,5,0,0,0,1,0,0,0,17,0.16666666666666666,0,0.0,1.791759469228055,108,1
5,4.0,1.0,0,5,0,0,0,0,0,0,0,270,0.0,0,0.0,1.791759469228055,306,1
5,4.0,1.0,0,3,0,2,0,0,0,0,0,20,0.5,0,0.5,1.3862943611198906,61,1
5,4.0,1.0,10,9,0,4,1,1,0,0,0,569,0.6,10,0.4,2.302585092994046,76,0
4,4.0,0.0,0,38,0,16,5,3,2,8,1,424,0.6153846153846154,1,0.41025641025641024,3.6635616461296463,16,0
4,3.5,0.5,0,4,0,1,0,1,0,0,0,256,0.4,0,0.2,1.6094379124341003,31,0
5,4.0,1.0,3,11,0,7,3,1,1,0,1,39,0.9166666666666666,4,0.5833333333333334,2.4849066497880004,75,0
5,4.0,1.0,0,2,0,1,1,1,0,0,0,27,1.0,0,0.3333333333333333,1.0986122886681098,78,1
1,3.5,2.5,0,1,0,0,0,0,0,0,0,27,0.0,0,0.0,0.6931471805599453,163,1
5,4.0,1.0,0,4,0,2,0,1,0,0,0,718,0.6,0,0.4,1.6094379124341003,147,0
3,3.5,0.5,25,1220,0,910,360,195,24,0,8,97,1.1998361998362,33,0.7452907452907452,7.107425474110705,31,0
4,4.0,0.0,0,26,0,9,6,4,0,0,0,1345,0.7037037037037037,0,0.3333333333333333,3.295836866004329,82,0
4,4.0,0.0,276,652,1,2352,2026,1970,873,0,52,113,9.721286370597243,328,3.601837672281776,6.481577129276431,90,0
5,4.0,1.0,0,21,0,2,2,1,0,0,0,1257,0.22727272727272727,0,0.09090909090909091,3.091042453358316,12,1
4,4.0,0.0,30,7,0,17,7,2,0,0,0,216,3.25,30,2.125,2.0794415416798357,319,0
3,4.0,1.0,2,77,0,35,17,21,7,0,0,480,0.9358974358974359,2,0.44871794871794873,4.356708826689592,166,0
5,4.0,1.0,4,10,2,6,6,2,5,0,0,479,1.2727272727272727,4,0.5454545454545454,2.3978952727983707,29,0
3,3.5,0.5,40,85,1,143,46,68,32,13,1,381,2.988372093023256,41,1.6627906976744187,4.454347296253507,57,0
3,3.5,0.5,3,64,0,78,33,86,2,0,3,87,3.0307692307692307,6,1.2,4.174387269895637,135,0
3,3.5,0.5,0,6,1,11,2,0,2,0,1,25,1.8571428571428572,1,1.5714285714285714,1.9459101490553132,50,0
1,4.5,3.5,0,1,0,1,0,1,0,0,0,22,1.0,0,0.5,0.6931471805599453,53,1
5,4.5,0.5,2,30,0,28,12,16,1,0,1,1320,1.8064516129032258,3,0.9032258064516129,3.4339872044851463,150,0
4,3.5,0.5,1,6,0,10,7,6,1,0,0,22,3.2857142857142856,1,1.4285714285714286,1.9459101490553132,110,1
5,4.0,1.0,9,4,0,0,0,0,0,0,0,36,0.0,9,0.0,1.6094379124341003,21,1
5,3.5,1.5,0,9,0,0,0,0,0,0,0,2,0.0,0,0.0,2.302585092994046,51,1
4,4.0,0.0,0,1,0,0,0,0,0,0,0,1,0.0,0,0.0,0.6931471805599453,11,1
5,4.0,1.0,0,3,0,0,0,0,0,0,0,4,0.0,0,0.0,1.3862943611198906,20,0
4,4.0,0.0,39,86,1,111,42,61,18,1,5,98,2.4597701149425286,44,1.2758620689655173,4.465908118654584,191,0
3,4.0,1.0,1,3,0,1,0,0,0,0,0,25,0.25,1,0.25,1.3862943611198906,184,1
3,3.5,0.5,446,588,3,2315,2102,1895,670,8,69,389,10.71646859083192,515,3.930390492359932,6.3784261836515865,154,0
4,3.5,0.5,35,409,1,196,76,70,30,1,2,437,0.8341463414634146,37,0.47804878048780486,6.016157159698354,44,0
2,4.0,2.0,1,18,0,6,4,3,0,0,0,19,0.6842105263157895,1,0.3157894736842105,2.9444389791664403,80,0
5,4.0,1.0,14,11,0,3,1,0,2,72,0,23,0.3333333333333333,14,0.25,2.4849066497880004,122,1
5,4.0,1.0,0,4,0,0,0,0,0,0,0,1217,0.0,0,0.0,1.6094379124341003,17,1
4,3.5,0.5,5,22,1,13,9,10,7,0,0,17,1.391304347826087,5,0.5652173913043478,3.1354942159291497,68,0
1,3.5,2.5,0,6,0,4,1,1,0,0,0,1203,0.8571428571428571,0,0.5714285714285714,1.9459101490553132,34,0
4,4.0,0.0,5,67,0,40,16,10,2,0,0,952,0.9705882352941176,5,0.5882352941176471,4.219507705176107,116,0
5,4.0,1.0,140,609,7,819,417,515,221,40,22,1598,2.8704918032786884,162,1.342622950819672,6.413458957167357,396,0
4,3.5,0.5,0,8,0,0,0,0,0,0,0,25,0.0,0,0.0,2.1972245773362196,154,1
4,4.0,0.0,135,223,4,583,402,472,318,0,10,1037,6.504464285714286,145,2.6026785714285716,5.4116460518550396,80,0
5,4.0,1.0,0,2,0,0,0,0,0,0,0,12,0.0,0,0.0,1.0986122886681098,25,1
4,4.0,0.0,51,97,1,215,123,126,30,23,3,725,4.73469387755102,54,2.193877551020408,4.584967478670572,93,0
2,4.0,2.0,0,20,0,21,2,9,0,0,0,10,1.5238095238095237,0,1.0,3.044522437723423,96,0
5,4.0,1.0,0,1,0,0,0,0,0,0,0,12,0.0,0,0.0,0.6931471805599453,57,1
4,4.0,0.0,2,5,1,4,2,1,0,0,0,1,1.1666666666666667,2,0.6666666666666666,1.791759469228055,14,0
5,4.0,1.0,0,1,0,1,0,0,0,0,0,6,0.5,0,0.5,0.6931471805599453,26,1
1,3.5,2.5,0,15,0,6,2,2,0,0,0,499,0.625,0,0.375,2.772588722239781,52,1
3,3.5,0.5,71,406,0,305,166,152,64,0,14,1469,1.5307125307125307,85,0.7493857493857494,6.008813185442595,40,0
5,4.0,1.0,1,2,0,2,0,0,0,0,0,271,0.6666666666666666,1,0.6666666666666666,1.0986122886681098,77,1
4,4.0,0.0,0,2,0,0,0,0,0,0,0,357,0.0,0,0.0,1.0986122886681098,79,1
4,3.5,0.5,0,3,2,3,0,0,0,0,0,27,0.75,0,0.75,1.3862943611198906,88,0
4,4.0,0.0,0,2,0,1,1,0,0,0,0,17,0.6666666666666666,0,0.3333333333333333,1.0986122886681098,9,1
